unique_id,airline_name,overall_rating,review_title,review_date,verified,review,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,wifi_connectivity,value_for_money,recommended
1,Privilege Style,2,"""operated by Privilege Style""",5th September 2018,False,"Very disappointed in this Norwegian flight operated by Privilege Style. Seats were uncomfortable with little or no leg room and it was an older airplane. This was a group fare, which we paid more for, that we could have booked for less, three days before our departure date. The crew were not friendly, one of our party asked for a blanket and was told that they had to buy it.",Boeing 747-400,Solo Leisure,Economy Class,Rome to Newark,18-Aug,1,1,2,2,1,2,1,no
2,Thomas Cook Airlines,8,"""flights were really good""",18th September 2018,True,"Manchester to Orlando return. Both flights were really good. Seats were comfy and had plenty of leg room. All cabin crew on both flights were brilliant and helpful. Aircraft was very clean, especially the toilet areas. Both take off and landings were smooth, some of the best landings I’ve experienced. Only down side was paying for extras like movies and drinks, but it’s a small price to pay for how good the flight was. Will fly again in future!",A330-243,Couple Leisure,Economy Class,Manchester to Orlando,18-Sep,4,5,4,4,4,4,4,yes
3,Virgin Australia,1,"""customer service is very rude""",22nd September 2022,True,"Terrible airline. I had a flights from Sydney to Denpasar and my flight was 5.40pm and i got messages from Virgin Australia customer service it says my flight is cancel and new flight is on 1pm to Brisbane and then Denpasar. Actually Sydney to Denpasar flight were not cancel, they sold my ticket to someone else for more expensive. And they took my flights much cheaper fares and flight time is earlier. Actually to Denpasar ticket via from Brisbane much cheaper then direct flight. And also they rescheduled my flight just before one hour from Brisbane flight. They gave me one hour notice for international flight. They are nightmare, customer service is very rude and arrogant.",Boeing 737-800,Couple Leisure,Economy Class,Sydney to Denpasar,22-Aug,1,1,1,1,1,1,1,no
4,Air France,1,"""the worst airline experience we have had""",26th June 2023,True,"Absolutely terrible experience with this airline. I flew to Paris with my friend at the end of May and at the airport was informed that even though we paid and did everything correctly with the booking, for some reason tickets were not issued. They let us stay at the airport handing us a paper with contact for AF customer service, where after a longer wait they said they don’t know how to deal with the problem so they have to think about it - I guess not realizing we are under a time pressure and could miss the flight - already in pressure and missed the time we wanted to stay at the airport lounge. After some time, they came up with a solution - to pay for the tickets again, yes, double charge us",A320,Couple Leisure,Economy Class,Prague to Paris,23-May,1,1,1,1,1,1,1,no
5,Philippine Airlines,4,"""schedule that was changed three times""",28th May 2023,True,"This flight is a replacement schedule for the original flight schedule that was changed three times. The original flight was supposed to head to HNL then connect to LAS via a different airline. The original schedule had at least 5 hours layover which we were going to use to meet some relatives at the airport. PAL made adjustments three times until it already affected the connecting flight schedule, which PAL did not adjust. If I hadn’t informed them about this, it would have been a disaster. So the replaced the original schedule into a completely different schedule and airports. We have to cancel meeting with my relatives. Not the first time this happened. Similarly, The outbound flight 10 days ago was also replaced with a different flight schedule and plane. Also noticed food is not",Boeing 777,Family Leisure,Economy Class,Manila to Vancouver,23-May,2,4,2,3,1,1,1,no
6,Philippine Airlines,8,"""I will fly them again""",23rd May 2023,True,"This an addendum to my previous review of PAL Flight 101, Honolulu to Manila departing HNL 20 May 2023, arriving MNL 21 May 2023. My biggest issue the our missing baggage of which I am pleased to report that our remaining luggage was just delivered today 23 May 2023 at approximately 12:30pm Manila time to our hotel in Eastwood City, Quezon City, Philippines. All three pieces were delivered intact by the courier contracted by Philippine Airline. I wish to thank PAL for their hard efforts in retrieving our missing luggage. I am pleased with PAL's efforts and with their ground and cabin service I am happy to say I will fly them again.",A330-300,Family Leisure,Economy Class,Honolulu to Manila,23-May,5,5,5,4,5,1,4,yes
7,Philippine Airlines,6,"""cabin crew was professional""",22nd May 2023,True,"Flight was delayed approximately 3.5hrs taking off Honolulu at 3pm instead of 1135am. The ground staff at PAL provided free refreshments, a nice touch. Once airborne, the flight was very smooth. As far as inflight service, I couldn't ask for better airline service. The cabin crew was professional, courteous, and attentive, even passing out menus in economy which I haven't seen in years. Hot towels were passed out before landing, again a nice touch. After a smooth and wonderful flight, what spoiled everything was that not all of our luggage was delivered. The baggage personnel stated that my son's baggage 2 pieces, and my wife's baggage 1 piece was pulled and not loaded on our aircraft due to possible weight issues which I don't believe, as none of this was ever brought to my attention",A330-300,Family Leisure,Economy Class,Honolulu to Manila,23-May,4,5,5,3,4,4,3,no
8,Germania Airline,8,"""service was quite good""",5th April 2016,False,"Tel Aviv to Hamburg with Germania. For a low cost, no frills airline service was quite good. Standard seats, reasonably comfortable, aircraft looked new. In flight entertainment limited to 1 movie, and you have to pay for earphones or bring your own - my standard earphones were not compatible with the system. Same movie inbound and outbound, from overhead screens. A so-called meal was served, which was a vegetarian pasta dish overloaded with basil - not a real substitue for lunch - but soft drinks were continuously offered. Overall, a pleasant flight. They have a 6kg weight limit for carry-on baggage, which wasn't checked outbound from TLV, but was checked at Hamburg, where only one check-in counter was operating. Seats do not recline.",A319,Business,Economy Class,TLV to HAM,16-Mar,4,4,2,3,1,1,4,yes
9,Air France,10,"""business class service was nothing short of stellar""",16th July 2023,True,"I am extremely impressed with the business class product on this international flight. The airplane has been in service for 24 years, but extremely well-kept. We had an hour delay due to a technical issue with one of the navigation instruments however Air France allowed us to stay in the terminal and not on the plane, something that I extremely appreciate. I was very disappointed, however, with fellow business class passengers for giving the crew a hard time because we were late due to the fact that they were trying to fix one of the navigational instruments. Really? You get upset because the delay is a safety issue that they are trying to fix before we take off on a 9 hour flight? Thank you Air France for ensuring that safety came first. I would",Boeing 777-200,Business,Business Class,"Paris to Newark, New Jersey",23-Jul,4,5,5,4,5,5,5,yes
10,Southwest Airlines,10,"""continues to be our go-to airline""",8th May 2023,False,"Southwest continues to be our go-to airline with 12 roundtrips this year so far. The service, price, baggage policy, and cancellation/change policy cannot be touched by any other airline. The price cannot be matched by any other airline. After looking at other options, I cannot fathom why anyone wouldn't choose Southwest first. We love em.",Boeing 737-800,Family Leisure,Economy Class,Norfolk to Orlando via Baltimore,23-Apr,5,5,5,5,5,5,5,yes
11,Icelandair,2,"""an overall poor experience""",17th October 2022,True,"We booked a RT for two in business class departing on July 23, 2022. The night before our departure we were down graded to economy. Icelandair told us we would receive a refund. Almost 3 months have passed and despite several emails to the contrary we have yet to receive a refund for the service downgrade. Our return flight on September 3 involved a marathon hike through a congested airport, several long lines and a bus ride across the airport. We were seated in business for this leg of the trip, but he food was indifferent and the staff inattentive. It was an overall poor experience.",Boeing 757,Couple Leisure,Business Class,Washington Dulles to Reykjavik,22-Aug,2,2,2,1,2,1,2,no
12,Philippine Airlines,4,"""Flight attendants are very hospitable""",26th March 2023,True,"We were served 2 meals for my 9 hour flight and the serving is, I would say is complete. Flight attendants are very hospitable and willing to help. For the negatives, crowded leg space for Economy Class for their DXB-MNL flights. They are using the same crowded aircraft for many years and not one ounce of this have improved. I’m stuck with the same airline over and over again because it’s my employer who chooses the flight and not me. Not only the leg spaces are crowded, the in-flight entertainment is inconvenient. They have, but you have to download an app for it on your mobile and connect to the aircraft wifi. While that’s not a bad idea, this consumes battery and seats don’t have charging slots. It feels like they never considered improving their",A330-300,Solo Leisure,Economy Class,Manila to Dubai,23-Feb,1,4,4,2,1,1,3,no
13,S7 Siberia Airlines,8,"""service was wonderful""",1st March 2019,False,"Hong Kong to Novosibirsk. My very first trip to Russia, in the business class cabin. The aircraft was a new Boeing 737-MAX8. Service was wonderful. Flight attendant's English was basic but we understood each other very well,thanks to my elementary and enthusiastic Russian I had learnt before going to Russia ! Food was very good. No lie flat bed but plenty of space. Only 8 seats in business cabin so very intimate.",Boeing 737-MAX8,Solo Leisure,Business Class,Hong Kong to Novosibirsk,19-Jan,4,5,5,3,1,1,5,yes
14,S7 Siberia Airlines,8,"""professional and attentive""",1st March 2019,False,"Novosibirsk to Hong Kong. This was my return sector of my trip to Russia. Aircraft was a new B737-MAX8. Flight attendant dedicated to the business cabin. Only 8 seats in the business cabin. Great for making new friends! No lie flat bed, seats very comfortable and plenty of leg room. Flight attendant was professional and attentive. Food was very good.",Boeing 737-MAX8,Solo Leisure,Business Class,Novosibirsk to Hong Kong,19-Feb,4,5,4,3,1,1,5,yes
15,Philippine Airlines,3,"""The seats were not lay-flat""",1st March 2023,False,"In February 2023, my wife and I travelled round-trip from San Francisco to Manila. Philippine Airlines was the only non-stop option that we could find. The flights and arrival/departure times were within reason. Airline personnel and their service was always very good. We traveled on a B777-300, which was fine, but the business cabin was original. The entertainment system appeared to have CRT monitors built into the seats. They worked about as well as 20 year-old CRT screens - not well. Movie/TV/Music selections were poor. There was no lack of space. Not compartmentalized. The seats were not lay-flat. There was no stowage for blanket/pillow apart from your lap or the floor in front of you. One was viewing the monitor from a distance of about 4-5 feet. Generally, it was not comfortable, or what i",Boeing 777-300,Couple Leisure,Business Class,San Francisco to Manila,23-Feb,2,5,2,2,1,1,1,no
16,Air Europa,6,"""liked the quality of the seat""",18th April 2020,False,"São Paulo to Lisboa via Madrid. I liked the quality of the seat. Very good, very polite stewards. The food was not good on the way back but on the way it was good. Yes the very attentive ground staff (check-in). I recommend",Boeing 787-9,Family Leisure,Economy Class,São Paulo to Lisboa via Madrid,20-Feb,5,5,2,5,5,1,3,yes
17,S7 Siberia Airlines,9,"""cost efficient upgrade fee""",10th July 2019,True,"It was 2 sectors from Novosibirsk to Vladivostok and then transfer from Vladivostok to Seoul. Baggage was checked-in through to final destination, which is very comvinient. Online check-in via app with cost efficient upgrade fee> (from Vladivostok to Seoul only 53 USD). Food was good. Entertainment system including map, movies, music etc is broadcasting by Wi-Fi to your own device, which is better for my since I can use my own headphones and no advertisement.",A320,Business,Business Class,Novosibirsk to Vladivostok via Seoul,18-Oct,4,5,4,4,5,5,5,yes
18,Jetblue Airways,4,"""really frustrating""",4th April 2023,False,"While I generally have had a positive experience of JetBlue in past, I was shocked by JetBlue's late cancellation of its flight from Aguadilla to NYC. More than the cancellation, the agents at the airport told me that my hotel would be compensated for up to $250 given there were no more flights for the day. When I got home, the customer service agents said that this was not what they said, and that they likely meant, your hotel might be reimbursed up to that amount. It was really surprising and also given the hassle and additional expenses we had to incur to get a hotel and to another airport the next day, it was really frustrating.",A320,Family Leisure,Economy Class,New York City to Aguadilla,23-Apr,4,4,2,2,4,5,2,no
19,Air Europa,2,"""horrible experience""",14th August 2020,True,"Horrible organization. 0 control of people and 0 monitoring of biosecurity measures and protocols. The fleet is handing out alcohol-free cleaning wipes that aren't even antibacterial. The plane looks like a jungle, passengers are moving everywhere and are talking in the aisle, being that it was clearly said at the beginning of the flight that crowds are not allowed in the aisles. People wear the masks without covering their nose, the fleet never distributed any alcohol in gel for sanitizing hands nor masks every 4 hours as it widely known and must be 100% know to airlines. There is no knowledge or transparency as to cleanliness, the Boarding was horrible, all the people piled up and the fleet of the plane controlled nothing. There are like 15 Air Europa workers on board (perhaps more) and",Boeing 787-9,Solo Leisure,Economy Class,Madrid to Asuncion,20-Aug,1,1,1,1,1,3,1,no
20,Jetblue Airways,1,"""The worst customer service ever""",4th April 2023,True,"The worst customer service ever. First of all received terrible service at the check in having a service dog. Second the flight was delayed for almost an hour. Went to get coffee, took me 10 min came back and the boarding was over How is that possible? The board was still showing expected, hey moved me to another flight to Fort Lauderdale. I can’t believe that I got service like that today.",A321,Solo Leisure,Economy Class,Los Angeles to Miami,23-Apr,1,1,2,1,1,1,1,no
21,Icelandair,7,"""My first time on Icelandair was good""",27th November 2022,False,"My first time on Icelandair was good. Thanks to the check-in crew, all my baggage was free for check-in. The seating was okay, but the inflight entertainment was very modest, with little excitement or a variety of options. All I had was nothing but free drinks.",Boeing 737 MAX 8,Family Leisure,Economy Class,Washington to Reykjavik,22-Nov,4,4,1,5,1,1,5,no
22,Thomas Cook Airlines,6,"""aircraft used is unsuitable""",20th December 2018,True,"Manchester to Hurghada. The aircraft used for this 5hr+ flight is in my opinion unsuitable. The seats don't recline and are quiet hard, no entertainment system or charging ports and its not like the lack of amenities are hugely reflected in the ticket price but the flight crew were very friendly and professional so not all bad.",A321,Solo Leisure,Economy Class,Manchester to Hurghada,18-Dec,1,5,2,4,1,1,2,no
23,Virgin Australia,1,"""Virgin Australia has absolutely gone downhill very rapidly""",29th July 2022,True,"Regardless of delays, luggage or ticketing issues, Virgin Australia has absolutely gone downhill very rapidly. Airplanes are generally dirty, outdated and lacking any comfort. Virgin is now almost certainly a budget airline but without the budget prices and is more likely a competitor for Jetstar than Qantas when it comes to service. Regardless of what route I’ve taken with them over the last two years, it has been even worse each time. The only thing that could salvage this airline is if they dropped their prices to match the quality of their aircraft and customer service.",Boeing 737-800,Business,Economy Class,Canberra to Perth via Sydney,22-Jul,1,1,1,2,1,1,1,no
24,Southwest Airlines,8,N Huang,22nd April 2023,True,"LAX to San Jose and back to LAX the next day. Only when we started lining up to board did the ground crew start to activate the aircraft. We started boarding 10-15 minutes later and thanks to the quick work of the Southwest crew, we departed quickly and the flight was delayed by 7-10 minutes. Southwest offers Economy class seats and their seats are not too comfortable nor is it terrible. I wish that their seats would recline just a bit further back though, There is an open-seating policy, which means that you are not assigned a seat prior to boarding and you can choose where you would like to sit. Flight attendants on Southwest were kind, friendly, and funny. Food and beverages are not exciting as they only offer snacks and a couple beverages",Boeing 737-700,Family Leisure,Economy Class,San Jose to Los Angeles,23-Mar,3,5,3,5,4,3,4,yes
25,Philippine Airlines,5,"""don't care much about frequent flyers""",16th January 2023,True,"The focus of my review at this time is on their Mabuhay Miles frequent flyer program. I usually take a domestic flight which will connect to Manila or Cebu for an international flight, all via PAL. This saves me from trouble in case I would miss my connection. From experience, they would rebook me to the next flight for free, if there are problems with the connection. And that is okay. But accommodation and food aren't included, though that's fine by me. With so many flights, I became a frequent flyer and their program is useful in terms of extra baggage allowance and priority tag, priority boarding, and lounge access. But that's it, they don't care much about frequent flyers in other aspects, especially redemption. If you redeem a one-way international flight ticket, expect that",A321,Solo Leisure,Economy Class,Cebu to Bangkok via Manila,23-Jan,3,5,3,3,1,1,3,no
26,Virgin Australia,1,"""worst airline for Business Class""",24th July 2022,True,"Virgin Australia has got to be the worst airline for Business Class. There is no Business Class lounge available at night, no compensation for food and drink and/or meal voucher. The actual aircraft seat is terrible, just a little bit of leg room for 5 times the price of an economy ticket. The drinks consists of “sparkling or water”, no bar service at all. The food is mediocre, would have preferred a McDonalds burger and chips instead. The Business fare keeps going up, while the associated promised food and other perks are minimal or non-existent.",Boeing 737-800,Business,Business Class,Perth to Sydney,22-Jul,1,2,1,1,2,1,1,no
27,Icelandair,4,"""wouldn't select carrier again""",19th December 2022,False,"Fairly satisfactory. East bound but delayed going out from Zurich. Meal payment for first leg, was put on second leg. Arrived late into Iceland, chaotic airport with numerous delays. Seat configuration changed to a 757 with more seats and I was put onto a mid seat. Sub par food. Aircraft full and air stagnant. Seats narrow and hard. Entertainment very limited. Overall, wouldn't select carrier again.",Boeing 757,Solo Leisure,Economy Class,Zurich to Seattle via Keflavik,22-Dec,2,3,2,4,2,2,3,no
28,Philippine Airlines,1,"""seat was just uncomfortable""",15th January 2023,True,"Philippine Airlines have the sheer arrogance of placing a Business Class passenger into a broken seat that will never turn into anything comfortable to sleep on. Worst still, I thought the seat was just uncomfortable and that was the way it was supposed to be. After 2 hours of struggling to get comfortable, I gave up sliding down the seat and it was only then I noticed the issue. Earlier in the flight, I was having a chat with one of the stewardesses and she said something about broken seats. I thought I mis-heard her and dismissed it. After letting a steward know, he got a box for the seat to prop up on. Far too late by then. Damage was done, the other passengers' children had had their sleep and there was no letting",Boeing 777,Business,Business Class,Sydney to Manila,22-Dec,1,3,3,3,2,1,1,no
29,Southwest Airlines,10,"""so patient and so kind to my kids""",21st April 2023,True,This was my 2 kids first flight. They enjoyed flying into Detroit. The highlight of their experience came on the flight back the next day. Our pilot was a 25 year old female. Beautiful take off and Beautiful landing. She even took their experience further. She let them take pictures with her. Wherever you are young lady please keep doing what you are doing. You bring inspiration to other young ladies. You were so patient and so kind to my kids. I just wanted to thank you for your hospitality and grace. You are one of a kind. If we ever cross paths with you again it would be a blessing.,Boeing 737 Max,Family Leisure,Economy Class,Detroit to Nashville,23-Apr,3,5,5,2,5,5,5,yes
30,Ryanair,1,"""kindness and smile should still be free""",17th November 2022,True,"Even though I am an American, I was offended how rude they were with Serbian people. I fly 50 + flights a year and I have never seen such rudeness.  I found the culture of flight attendants to be rude and pathetic. I know it is a low cost airline, but kindness and smile should still be free.",Boeing 737,Family Leisure,Economy Class,Nis to Stockholm,22-Jul,1,1,1,1,1,1,2,no
31,Philippine Airlines,1,"""The most horrendous service""",1st June 2023,True,"The most horrendous service you could possible imagine! What were supposed to be simple Sydney to Tokyo return flights (via manila) ended up in a horrible mess of late minute changes, then more changes, and insistence that I pay for the many costs involved, including the most ridiculous one of all; I pay for accommodation for three nights due to an enforced three day stop over in manila. None of this was of my doing - all decided by Philippine Airlines, and not one sensible reason ever given for any of the changes. Their 'help lines' and 'support' are non existent - number either do not work or are answered by ostensibly caring people with no authority or desire to actually do anything to help. Disgraceful - I'm surprised they are still in business.",various,Couple Leisure,Economy Class,Tokyo to Sydney  via Manila,23-May,2,2,2,1,1,1,1,no
32,Virgin Australia,1,"""they should be providing service and support""",13th July 2022,False,"Firstly, the booking system is rubbish, such that passengers are not able to manage their booking ourselves and must call through to the customer service. Though they do pick up the call pretty quick, it is pointless as all they can and will tell you is that they can't do anything for you (when they actually can). My husband booked a ticket for me to fly out on a Thursday to see my father in law who has just been hospitalised. However, something cropped up at home and I could not leave till the next day. I called to ask for a change of flight. First time I called, I was told all flights on Friday are sold and so they could not change it for me. I was naïve and believed in it. I",Boeing 747,Solo Leisure,Economy Class,Melbourne to Gold Coast,22-Jul,1,1,1,1,1,1,1,no
